asset_id,file,created_at,creator,service_and_plan,input_sources,prompt_or_brief,output_reference,terms_url,attribution_required,human_edits,release_status,notes
ART-ENV-003,docs/art/concepts/tutorial_1_1_dense_grid_v3.png,2026-09-11,OpenAI image generation via Codex,built-in image edit,ART-ENV-002,docs/art/VISUAL_DEVELOPMENT_ROUND_04.md#3-密度を上げたチュートリアル1-1厨房,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-b00414c9-5bc1-41cc-82ae-1830061a0d83.png,https://openai.com/policies/service-terms/,verify before release,"denser central island and helper counters",concept-only,"Visual direction only; exact 10x8 layout comes from deterministic grid data"
ART-CHAR-003,docs/art/concepts/cook_portraits_reference_driven_v3.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"user-provided third-party screenshot used as visual-language reference; ART-CHAR-002",docs/art/VISUAL_DEVELOPMENT_ROUND_05.md#1-キャラクター選択肖像,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-76824486-dfb0-4462-b229-1742a471825f.png,https://openai.com/policies/service-terms/,verify before release,none,concept-only,"Six animals and two humans; reference characters and UI intentionally not reproduced; hat needs further originality pass"
ART-FOOD-001,docs/art/concepts/dish_style_12_family_sampler_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,text only,docs/art/VISUAL_DEVELOPMENT_ROUND_05.md#2-料理12系統の大まかな造形試験,/Users/takuto/.codex/generated_images/01a08953-a33c-7433-8d93-0ea64e0c4372/exec-87f72bba-001e-4900-9174-2ffae7a5aa40.png,https://openai.com/policies/service-terms/,verify before release,none,concept-only,"Twelve rough dish families in the shared open delivery tray; style sampler before 36-family production"
ART-CHAR-004,docs/art/concepts/char_selection_portraits_12_animals_sv1_candidate_a_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-CHAR-003; ART-FOOD-001; ART-ENV-003",docs/art/VISUAL_DEVELOPMENT_ROUND_06.md#6-生成プロンプト--候補a,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-3f197956-cf45-4a98-a2a1-40cc15ca10cf.png,https://openai.com/policies/service-terms/,verify before release,"copied generated PNG without pixel edits",superseded-concept,"Candidate A art direction approved by user on 2026-09-11; roster superseded by ART-CHAR-006 after canonical species update; do not ship"
ART-CHAR-005,docs/art/concepts/char_selection_portraits_12_animals_sv1_candidate_b_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-CHAR-003; ART-FOOD-001; ART-ENV-003",docs/art/VISUAL_DEVELOPMENT_ROUND_06.md#7-生成プロンプト--候補b,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-1fb6b904-d2e5-414a-a7d7-69701cde8a1c.png,https://openai.com/policies/service-terms/,verify before release,"copied generated PNG without pixel edits",rejected-concept,"All-animal 12-portrait candidate B; comparison alternate rejected after candidate A approval on 2026-09-11; do not ship"
ART-CHAR-006,docs/art/concepts/char_selection_portraits_12_animals_sv1_candidate_a_v2.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,ART-CHAR-004,docs/art/VISUAL_DEVELOPMENT_ROUND_07.md#7-生成プロンプト--初期12体候補a-v2,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-04e8c3dd-cd32-407d-9a3e-0aaeca4b2199.png,https://openai.com/policies/service-terms/,verify before release,"regenerated canonical roster; copied generated PNG without pixel edits",direction-approved,"Canonical all-animal 12-portrait sheet in approved A direction; user accepted round and continued on 2026-09-11; not approved for shipping"
ART-FOOD-002,docs/art/concepts/food_families_01_12_sv1_sheet_01_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-CHAR-004; ART-FOOD-001",docs/art/VISUAL_DEVELOPMENT_ROUND_07.md#8-生成プロンプト--料理シート1,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-b3cc5ced-d646-4ad2-be91-a4814efb1090.png,https://openai.com/policies/service-terms/,verify before release,"copied generated PNG without pixel edits",direction-approved,"Recipe families 1-12; universal open-lid container; user accepted round and continued on 2026-09-11; do not ship as-is"
ART-FOOD-003,docs/art/concepts/food_families_13_24_sv1_sheet_02_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-CHAR-006; ART-FOOD-002",docs/art/VISUAL_DEVELOPMENT_ROUND_07.md#9-生成プロンプト--料理シート23,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-9f1ff6a7-2782-4e2f-b4ac-c334c08370cc.png,https://openai.com/policies/service-terms/,verify before release,"copied generated PNG without pixel edits",direction-approved,"Recipe families 13-24; universal open-lid container; user accepted round and continued on 2026-09-11; simplify meat gloss in production"
ART-FOOD-004,docs/art/concepts/food_families_25_36_sv1_sheet_03_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-CHAR-006; ART-FOOD-002",docs/art/VISUAL_DEVELOPMENT_ROUND_07.md#9-生成プロンプト--料理シート23,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-31200a2d-74e1-4e02-a23c-96e62dc0d923.png,https://openai.com/policies/service-terms/,verify before release,"copied generated PNG without pixel edits",direction-approved,"Recipe families 25-36; universal open-lid container; user accepted round and continued on 2026-09-11; simplify fried-rice detail in production"
ART-EQUIP-001,docs/art/concepts/kitchen_equipment_16_sv1_sheet_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation and precise-object-edit,"ART-CHAR-006; ART-FOOD-002; ART-ENV-003",docs/art/VISUAL_DEVELOPMENT_ROUND_08.md#7-生成プロンプト--基本設備,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-c6c11317-330d-4d21-9f7c-fc5062587ee4.png,https://openai.com/policies/service-terms/,verify before release,"AI edit replaced C-like recovery relief with two-arrow loop; no manual pixel edits",approval-candidate,"Sixteen equipment types; one-cell visual standard with 2x1 motorcycle bay; do not ship as-is"
ART-ENV-004,docs/art/concepts/tutorial_1_1_sv1_art_standard_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-CHAR-006; ART-FOOD-002; ART-EQUIP-001",docs/art/VISUAL_DEVELOPMENT_ROUND_08.md#8-生成プロンプト--厨房共通部,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-1c8eb288-8810-4de3-a41b-c65ed1c25c9a.png,https://openai.com/policies/service-terms/,verify before release,"copied generated PNG without pixel edits",approval-candidate,"Stage 1-1 art standard; generated coordinates are non-authoritative; deterministic 10x8 grid data remains canonical"
ART-ENV-005,docs/art/concepts/tutorial_1_2_sv1_art_standard_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-CHAR-006; ART-FOOD-002; ART-EQUIP-001",docs/art/VISUAL_DEVELOPMENT_ROUND_08.md#8-生成プロンプト--厨房共通部,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-fc1ab6b1-178d-413c-bbcf-d7648253db58.png,https://openai.com/policies/service-terms/,verify before release,"copied generated PNG without pixel edits",approval-candidate,"Stage 1-2 art standard; illustrative layout only; no canonical grid data inferred"
ART-ENV-006,docs/art/concepts/tutorial_1_3_sv1_art_standard_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-CHAR-006; ART-FOOD-002; ART-EQUIP-001",docs/art/VISUAL_DEVELOPMENT_ROUND_08.md#8-生成プロンプト--厨房共通部,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-92354b49-23e9-49a0-a4f6-6a79ff5a26db.png,https://openai.com/policies/service-terms/,verify before release,"copied generated PNG without pixel edits",approval-candidate,"Stage 1-3 art standard; illustrative layout only; no canonical grid data inferred"
ART-INGREDIENT-001,Assets/_CookedOut/Art/Resources/IngredientSourceCards/ingredient_lettuce_source_card_sv1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-EQUIP-001; ART-FOOD-002",docs/art/VISUAL_DEVELOPMENT_ROUND_09.md#4-生成プロンプト,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-0c838349-76b0-48e5-877c-f95e468ba4a6.png,https://openai.com/policies/service-terms/,verify before release,"copied generated PNG without pixel edits; Unity TextureImporter alphaIsTransparency enabled",implementation-candidate,"Lettuce ingredient-source top card; linked to the same grid ContentId used for dispensing"
ART-ENV-007,docs/art/concepts/chapter_01_basic_license_kitchen_sv1_key_art_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-ENV-004; ART-EQUIP-001; ART-CHAR-006",docs/art/VISUAL_DEVELOPMENT_ROUND_10.md#4-章別プロンプト差分,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-e7462291-fcd5-40a6-a836-2e96f61be85d.png,https://openai.com/policies/service-terms/,verify before release,copied generated PNG without pixel edits,approval-candidate,"Chapter 1 key art; SHA-256 4b57d354152f85108fb1dde6017680dac2c331abc11c3a4c3c199740cb85d69c; coordinates non-authoritative"
ART-ENV-008,docs/art/concepts/chapter_02_cut_and_assemble_kitchen_sv1_key_art_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-ENV-007; ART-EQUIP-001; ART-FOOD-002",docs/art/VISUAL_DEVELOPMENT_ROUND_10.md#4-章別プロンプト差分,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-c94911b8-4b70-40ca-8ccb-af1828b202c9.png,https://openai.com/policies/service-terms/,verify before release,copied generated PNG without pixel edits,approval-candidate,"Chapter 2 key art; SHA-256 264d469fa5325ddf0427c573c1dd86da14dbcb5208f6c4c99f598957a1c228a9; coordinates non-authoritative"
ART-ENV-009,docs/art/concepts/chapter_03_keep_pots_moving_kitchen_sv1_key_art_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-ENV-007; ART-EQUIP-001; ART-FOOD-002",docs/art/VISUAL_DEVELOPMENT_ROUND_10.md#4-章別プロンプト差分,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-40c219d3-00d9-430e-8afb-c4001c8a2d07.png,https://openai.com/policies/service-terms/,verify before release,copied generated PNG without pixel edits,approval-candidate,"Chapter 3 key art; SHA-256 de51cded2bb8f015002cb19582f39a77d4d0f86b0afb232bf1aaccbc85079c1a; coordinates non-authoritative"
ART-ENV-010,docs/art/concepts/chapter_04_grill_and_match_kitchen_sv1_key_art_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-ENV-007; ART-EQUIP-001; ART-FOOD-003",docs/art/VISUAL_DEVELOPMENT_ROUND_10.md#4-章別プロンプト差分,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-c12f0c14-154d-4c93-8d77-0226b7e50f24.png,https://openai.com/policies/service-terms/,verify before release,copied generated PNG without pixel edits,approval-candidate,"Chapter 4 key art; SHA-256 fccd969324095b358fdcf326daf5865626643b1c02956ddc024e354564930e61; coordinates non-authoritative"
ART-ENV-011,docs/art/concepts/chapter_05_rice_and_noodles_kitchen_sv1_key_art_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-ENV-007; ART-EQUIP-001; ART-FOOD-003",docs/art/VISUAL_DEVELOPMENT_ROUND_10.md#4-章別プロンプト差分,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-8706297a-b912-4557-acb2-7758b8e6e95a.png,https://openai.com/policies/service-terms/,verify before release,copied generated PNG without pixel edits,approval-candidate,"Chapter 5 key art; SHA-256 6b077ee06d29548f31ce6584cf3cac0135200da9c1990d83eece1e4d7565201a; coordinates non-authoritative"
ART-ENV-012,docs/art/concepts/chapter_06_wrap_and_finish_kitchen_sv1_key_art_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-ENV-007; ART-EQUIP-001; ART-FOOD-004",docs/art/VISUAL_DEVELOPMENT_ROUND_10.md#4-章別プロンプト差分,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-b29b88f5-184a-4774-b974-17bc6f88b34c.png,https://openai.com/policies/service-terms/,verify before release,copied generated PNG without pixel edits,approval-candidate,"Chapter 6 key art; SHA-256 684c90dd2f2ede3e86f8ab5184042144dd3b4d03ab25b6b932be0b54aa7bdd8c; coordinates non-authoritative"
ART-ENV-013,docs/art/concepts/chapter_07_synchronize_two_lines_kitchen_sv1_key_art_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-ENV-007; ART-EQUIP-001; ART-FOOD-004",docs/art/VISUAL_DEVELOPMENT_ROUND_10.md#4-章別プロンプト差分,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-623cee9e-8327-4c49-a0e7-f6cb8bd2354c.png,https://openai.com/policies/service-terms/,verify before release,copied generated PNG without pixel edits,approval-candidate,"Chapter 7 key art; SHA-256 472ca1f73ef70ae04ecf1e17ecb6c05a3c77f1c7c686d9ddb1ef1f63cb05f4ab; coordinates non-authoritative"
ART-ENV-014,docs/art/concepts/chapter_08_complete_the_set_kitchen_sv1_key_art_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-ENV-007; ART-EQUIP-001; ART-FOOD-004",docs/art/VISUAL_DEVELOPMENT_ROUND_10.md#4-章別プロンプト差分,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-70a7fbe1-4004-420d-876e-f3f692410917.png,https://openai.com/policies/service-terms/,verify before release,copied generated PNG without pixel edits,approval-candidate,"Chapter 8 key art; SHA-256 f6f3d500e22bfca86b568487df3bc740eac9acbe677db4c3b065de705c0f9ff0; coordinates non-authoritative"
ART-ENV-015,docs/art/concepts/chapter_09_final_large_outing_kitchen_sv1_key_art_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-ENV-007; ART-ENV-013; ART-ENV-014",docs/art/VISUAL_DEVELOPMENT_ROUND_10.md#4-章別プロンプト差分,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-5a90481a-2435-4e4d-a299-0d923910c193.png,https://openai.com/policies/service-terms/,verify before release,copied generated PNG without pixel edits,approval-candidate,"Chapter 9 key art; SHA-256 67ea19f858e063618d673b86a6861c4314691752c22f1e3a70fd34a8d6131b92; coordinates non-authoritative"
ART-PROP-004,docs/art/concepts/universal_delivery_container_6_states_sv1_modeling_reference_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-PROP-003; ART-EQUIP-001; ART-ENV-007",docs/art/VISUAL_DEVELOPMENT_ROUND_11.md#4-生成プロンプト,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-27c2681d-bc17-43cf-8aac-5181b81bc367.png,https://openai.com/policies/service-terms/,verify before release,copied generated PNG without pixel edits,approval-candidate,"Universal delivery container six-state modeling reference; SHA-256 eb9fb7d6559f1c1d7b1376bc3696e703db1e6ced6110bada30e9b0cdbceccd65; Unity graybox implements open incomplete and closed complete states"
ART-INGREDIENT-002,docs/art/concepts/lettuce_3_states_sv1_modeling_reference_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-INGREDIENT-001; ART-FOOD-002; ART-PROP-004",docs/art/VISUAL_DEVELOPMENT_ROUND_12.md#4-生成プロンプト,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-22b504b3-dbeb-43f8-9b22-72d46fd3bacc.png,https://openai.com/policies/service-terms/,verify before release,copied generated PNG without pixel edits,approval-candidate,"Lettuce raw chopped and completed-container modeling reference; SHA-256 7021ffd671face3b8da2476c38f9143366127b0b12c13177e384fbcf13e4926c; Unity graybox uses large leaf clusters"
ART-CHAR-007,docs/art/concepts/capybara_chef_sv1_turnaround_expression_sheet_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,ART-CHAR-006,docs/art/VISUAL_DEVELOPMENT_ROUND_13.md#4-生成プロンプト,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-f078506d-d704-4bb7-82f3-59b3ba1dd0fa.png,https://openai.com/policies/service-terms/,verify before release,copied generated PNG without pixel edits,approval-candidate,"Capybara chef turnaround and three-expression modeling reference; SHA-256 9d3961de154e0e317db9aef35367dcfd7a02e82bd655c6574a858519ed27653e; Unity graybox separates common uniform and species-specific roots"
ART-CHAR-008,docs/art/concepts/capybara_chef_sv1_blender_model_preview_v1.png,2026-09-11,OpenAI Codex procedural Blender script,Blender 5.2.1 LTS local,ART-CHAR-007,docs/art/VISUAL_DEVELOPMENT_ROUND_14.md#5-再生成設定,art-source/characters/capybara/CapybaraChef.blend,https://www.blender.org/about/license/,verify before release,"procedurally modeled rigged and rendered; no pixel edits",approval-candidate,"Capybara production 3D candidate preview; source script tools/blender/generate_capybara.py; preview SHA-256 d90c64aebeb9c242d04f35c83ab3f13fcd038f0c5977a3facf88433d6232f9b7; not approved for shipping"
ART-CHAR-009,docs/art/concepts/capybara_chef_sv1_pop_revision_target_v2.png,2026-09-11,OpenAI image generation via Codex,built-in image generation,"ART-CHAR-006; ART-CHAR-007; ART-CHAR-008",docs/art/VISUAL_DEVELOPMENT_ROUND_15.md#3-画像生成プロンプト,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-29d01ac7-7cda-43e3-87e9-bb853be9edc6.png,https://openai.com/policies/service-terms/,verify before release,"copied generated PNG without pixel edits",approval-candidate,"Cute-pop revision modeling target; SHA-256 a6747fde0f4f3ba90cf3f7afffe1dee0c5db4ed24f1b66ed6abdd66054e6dcac; no existing-game-specific character costume UI layout or palette reproduced"
ART-CHAR-010,docs/art/concepts/capybara_chef_sv1_blender_model_preview_v2.png,2026-09-11,OpenAI Codex procedural Blender script,Blender 5.2.1 LTS local,"ART-CHAR-008; ART-CHAR-009",docs/art/VISUAL_DEVELOPMENT_ROUND_15.md#4-blenderunity反映内容,art-source/characters/capybara/CapybaraChef.blend,https://www.blender.org/about/license/,verify before release,"procedurally remodeled rigged and rendered; no pixel edits",approval-candidate,"Cute-pop production 3D candidate preview; source script tools/blender/generate_capybara.py; preview SHA-256 54309e3b6ced71bd9c79d051ab1d5bc79b36fd5fe49d985934bacd3417f13199; Unity integrated; not approved for shipping"
ART-CHAR-011,docs/art/concepts/capybara_chef_sv1_closed_mouth_target_v3.png,2026-09-11,OpenAI image generation via Codex,built-in image edit,ART-CHAR-009,docs/art/VISUAL_DEVELOPMENT_ROUND_16.md#3-画像編集プロンプト,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-b4a8ba02-b453-4f23-ad02-59c208ff430a.png,https://openai.com/policies/service-terms/,verify before release,"closed mouth; removed visible teeth tongue and mouth interior; copied generated PNG without pixel edits",approval-candidate,"Closed-mouth revision target; SHA-256 37b7524a77e3a6c1743f6638752be5ae803d956363105071bd2083aab90bf1c4; all non-mouth design elements preserved"
ART-CHAR-012,docs/art/concepts/capybara_chef_sv1_blender_model_preview_v3.png,2026-09-11,OpenAI Codex procedural Blender script,Blender 5.2.1 LTS local,"ART-CHAR-010; ART-CHAR-011",docs/art/VISUAL_DEVELOPMENT_ROUND_16.md#4-blenderunity反映,art-source/characters/capybara/CapybaraChef.blend,https://www.blender.org/about/license/,verify before release,"removed open mouth teeth tongue and mouth cavity; added shallow closed smile; no pixel edits",approval-candidate,"Closed-mouth production 3D candidate preview; source script tools/blender/generate_capybara.py; preview SHA-256 5271d351e29874504bf823b5a2051cd81f97afd1ed5d6916bc3be7c103f09a39; Unity integrated; not approved for shipping"
ART-EQUIP-002,docs/art/concepts/tutorial_p0_equipment_food_states_sv1_master_sheet_v1.png,2026-09-11,OpenAI image generation via Codex,built-in image generation and precise-object-edit,"ART-EQUIP-001; ART-PROP-004; ART-INGREDIENT-002",docs/art/VISUAL_DEVELOPMENT_ROUND_17.md#31-p0マスターシート,/Users/takuto/.codex/generated_images/01a08e75-2758-79f1-a2ac-4f8c83d22c0d/exec-38755688-242b-45ff-b1c5-fabb8d83c4e9.png,https://openai.com/policies/service-terms/,verify before release,"initial generation; precise edit changed only two completed-food cells to canonical recipe ingredients; copied without manual pixel edits",implementation-candidate,"P0 4x4 equipment and food-state comparison; SHA-256 285c54470f7d117062f1e13aae14a82b6ac1728cf02582b5762544317e5e4641; coordinates non-authoritative"
